TradeDate,ResourceName,StartTime,EndTime,MeteredFlow,FlowVariance,ResidualCapacity
"2023-12-02","I_NIMOYLE","2023-12-02T06:00:00","2023-12-02T06:30:00",224.3,0.3,52
"2023-12-02","I_ROIEWIC","2023-12-02T06:00:00","2023-12-02T06:29:59",33.17,-38.83,371
"2023-12-02","I_NIMOYLE","2023-12-02T07:00:00","2023-12-02T07:30:00",224.3,-0.7,50
"2023-12-02","I_ROIEWIC","2023-12-02T07:00:00","2023-12-02T07:29:59",54.89,17.39,440
"2023-12-02","I_NIMOYLE","2023-12-02T08:00:00","2023-12-02T08:30:00",162.5,-20,135
"2023-12-02","I_ROIEWIC","2023-12-02T08:00:00","2023-12-02T08:29:59",-1.26,-1.26,515
"2023-12-02","I_NIMOYLE","2023-12-02T09:00:00","2023-12-02T09:30:00",214.6,27.6,126
"2023-12-02","I_ROIEWIC","2023-12-02T09:00:00","2023-12-02T09:29:59",93.28,34.78,398
"2023-12-02","I_NIMOYLE","2023-12-02T10:00:00","2023-12-02T10:30:00",224.3,-0.7,50
"2023-12-02","I_ROIEWIC","2023-12-02T10:00:00","2023-12-02T10:29:59",155.86,30.36,264
"2023-12-02","I_NIMOYLE","2023-12-02T11:00:00","2023-12-02T11:30:00",187.3,-37.7,50
"2023-12-02","I_ROIEWIC","2023-12-02T11:00:00","2023-12-02T11:29:59",184.27,-0.73,145
"2023-12-02","I_NIMOYLE","2023-12-02T12:00:00","2023-12-02T12:30:00",160.3,0.3,180
"2023-12-02","I_ROIEWIC","2023-12-02T12:00:00","2023-12-02T12:29:59",229.74,11.74,79
"2023-12-02","I_NIMOYLE","2023-12-02T13:00:00","2023-12-02T13:30:00",185.2,8.2,146
"2023-12-02","I_ROIEWIC","2023-12-02T13:00:00","2023-12-02T13:29:59",170.74,-20.76,132
"2023-12-02","I_NIMOYLE","2023-12-02T14:00:00","2023-12-02T14:30:00",210.3,-4.2,71
"2023-12-02","I_ROIEWIC","2023-12-02T14:00:00","2023-12-02T14:29:59",123.69,-27.81,212
"2023-12-02","I_NIMOYLE","2023-12-02T15:00:00","2023-12-02T15:30:00",183.4,-37.6,58
"2023-12-02","I_ROIEWIC","2023-12-02T15:00:00","2023-12-02T15:29:59",92.62,-3.88,322
"2023-12-02","I_NIMOYLE","2023-12-02T16:00:00","2023-12-02T16:30:00",202,33.5,163
"2023-12-02","I_ROIEWIC","2023-12-02T16:00:00","2023-12-02T16:29:59",213.65,35.65,159
"2023-12-02","I_ROIEWIC","2023-12-02T17:00:00","2023-12-02T17:29:59",263.67,-1.33,-15
"2023-12-02","I_ROIEWIC","2023-12-02T18:00:00","2023-12-02T18:29:59",263.26,-1.74,-15
